LOG_NO,by_year_complaint_date,CURRENT_STATUS,FINAL_CATEGORY
1,01/01/2019 12:00:00 AM,Case Final,Notifications COPA Response
2,01/01/2023 12:00:00 AM,Case Final,Conduct Unbecoming Violations Altercation/Disturbance
9,01/01/2019 12:00:00 AM,Advocate Review,Operation/Personnel Violations Inadequate/Failure to Provide Service
7,01/01/2022 12:00:00 AM,Under District Investigation,Conduct Unbecoming Violations Abuse of Authority
1,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations Compensatory Time
1,01/01/2021 12:00:00 AM,Case Final,Civil Rights Violation Profiling
2,01/01/2019 12:00:00 AM,Administratively Closed,Crime Misconduct Auto Theft
12,01/01/2023 12:00:00 AM,Case Final,Crime Misconduct Theft
7,01/01/2019 12:00:00 AM,Administratively Closed,Arrest/Lockup Incidents Escape
3,01/01/2020 12:00:00 AM,Case Final,Search Warrants Damage Property
3,01/01/2021 12:00:00 AM,Under BIA Investigation,Crime Misconduct Other Misdemeanor Arrest
3,01/01/2023 12:00:00 AM,Case Final,Supervisory Responsibilities Initiate Proper Action
17,01/01/2023 12:00:00 AM,Under District Investigation,Excessive Force No Weapon Non-Serious Bodily Injury
2,01/01/2022 12:00:00 AM,Command Channel Review,Fatal Motor Vehicle Incident Law Enforcement Activity
1,01/01/2022 12:00:00 AM,Advocate Review,Arrest/Lockup Incidents Prisoner's Property Money Failed to Inventory
10,01/01/2020 12:00:00 AM,Case Final,Traffic (Not Bribery/Excessive Force) Misconduct During Issuance of Citation
2,01/01/2021 12:00:00 AM,Case Final,Crime Misconduct Conspiracy to Commit a Crime
1,01/01/2021 12:00:00 AM,Case Final,Civil Rights Violation First Amendment
1,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations EEO Investigations
1,01/01/2021 12:00:00 AM,Advocate Review,Medical Integrity Medical Role Violation Not at Home
6,01/01/2019 12:00:00 AM,Case Final,Conduct Unbecoming Violations Residency
1,01/01/2019 12:00:00 AM,Case Final,Medical Integrity Medical Role Violation Misrepresentation of Injury
2,01/01/2023 12:00:00 AM,Case Final,Arrest/Lockup Incidents Lock Up Incident No Injury
2,01/01/2023 12:00:00 AM,Case Final,Bribery/Official Corruption Solicit/Accept Bribe
1,01/01/2022 12:00:00 AM,Case Final,Sexual Misconduct Improper Sexual Conduct Verbal Minor
2,01/01/2023 12:00:00 AM,Administratively Closed,Bribery/Official Corruption False Testimony
1,01/01/2021 12:00:00 AM,Under BIA Investigation,Crime Misconduct Theft
1,01/01/2021 12:00:00 AM,OLA Review,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
8,01/01/2021 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Person Protective Pat Down
1,01/01/2019 12:00:00 AM,Command Channel Review,Operation/Personnel Violations Insubordination
2,01/01/2023 12:00:00 AM,Case Final,Weapon Discharge OC Discharge No Injury With No Hits
6,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Insubordination
1,01/01/2022 12:00:00 AM,Closed/No Finding,Operation/Personnel Violations Neglect of Duty
1,01/01/2023 12:00:00 AM,Administratively Closed,Conduct Unbecoming Violations Vehicle Licensing State
1,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations Absent without Permission
22,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Reports FALSE
12,01/01/2022 12:00:00 AM,Case Final,Operation/Personnel Violations Reports Fail to Submit
1,01/01/2020 12:00:00 AM,Case Final,Alcohol/Drug Abuse Possession/Drinking Alcohol/Drug Use
15,01/01/2022 12:00:00 AM,Case Final,Conduct Unbecoming Violations Harassment
27,01/01/2023 12:00:00 AM,Case Final,Operation/Personnel Violations Failure to Identify
5,01/01/2023 12:00:00 AM,Under BIA Investigation,"Crime Misconduct Assault/Battery, etc."
4,01/01/2019 12:00:00 AM,Case Final,Verbal Abuse  Profanity
5,01/01/2022 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations Sexual Orientation
2,01/01/2019 12:00:00 AM,Administratively Closed,Weapon Discharge Taser No Injury
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Political Activity
1,01/01/2019 12:00:00 AM,Under BIA Investigation,Verbal Abuse Profanity
1,01/01/2023 12:00:00 AM,Advocate Review,Operation/Personnel Violations EEO Investigations Sexual Orientation
1,01/01/2021 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Arrest Miranda Rights Communicated
38,01/01/2021 12:00:00 AM,Under District Investigation,Operation/Personnel Violations Inadequate/Failure to Provide Service
1,01/01/2019 12:00:00 AM,Advocate Review,Conduct Unbecoming Violations Altercation/Disturbance Other
2,01/01/2019 12:00:00 AM,OLA Review,Medical Integrity
10,01/01/2020 12:00:00 AM,Under BIA Investigation,Operation/Personnel Violations Neglect of Duty
1,01/01/2019 12:00:00 AM,Suspended,Operation/Personnel Violations Insubordination
1,01/01/2021 12:00:00 AM,Command Channel Review,Verbal Abuse Profanity
30,01/01/2021 12:00:00 AM,Case Final,Operation/Personnel Violations Reports Fail to Submit
4,01/01/2020 12:00:00 AM,Advocate Review,Excessive Force Weapon No Injury
1,01/01/2021 12:00:00 AM,Advocate Review,Operation/Personnel Violations Workplace Violence
2,01/01/2019 12:00:00 AM,Administratively Closed,Operation/Personnel Violations EEO Investigations
6,01/01/2019 12:00:00 AM,Administratively Closed,Civil Rights Violation Improper Stop/Seizure Vehicle
1,01/01/2023 12:00:00 AM,Under BIA Investigation,Alcohol/Drug Abuse Random Drug/Return to Duty 6 mos. follow-up .021 or greater
