fund_type,fund_code,fund_desc,dept_num,dept_desc,approp_auth,approp_auth_desc,approp_acc,approp_acc_desc,ordinance,year,department
GRANTS,0Y28,LONG TERM CARE OMBUDSMAN PROGRAM - CMP,50,DFSS,2836,LONG TERM CARE OMBUDSMAN,6,SALARY PROVISION,120000.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,140,PROFESSIONAL AND TECHNICAL SERVICES,12500.0,2019,City Council
GRANTS,0Y23,AREA PLAN ON AGING,50,DFSS,2903,AREA PLAN ON AGING - STATE,135,DELEGATE AGENCIES,3543373.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,140,PROFESSIONAL AND TECHNICAL SERVICES,234326.0,2019,Department of Finance
GRANTS,0T87,LONG TERM CARE OMBUDSMAN - CMP,50,DFSS,2836,LONG TERM CARE OMBUDSMAN,6,SALARY PROVISION,116974.0,2019,Department of Family and Support Services
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9262,EITC,850000.0,2019,Department of Family and Support Services
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,149,SOFTWARE MAINTENANCE AND LICENSING,12011.0,2019,Department of Law
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,196,DATA CIRCUITS,1631000.0,2019,Office of Emergency Management and Communications
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,232749404.0,2019,Finance General
LOCAL,0740,O HARE REVENUE FUND,33,DHR,2005,HUMAN RESOURCES,140,PROFESSIONAL AND TECHNICAL SERVICES,5950.0,2019,Department of Human Resources
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,190,TELEPHONE - NON-CENTREX BILLINGS,19500.0,2019,Chicago Department of Transportation
LOCAL,0314,SEWER FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,325,ALTERNATIVE FUEL,25214.0,2019,Department of Fleet and Facility Management
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,12,CONTRACT WAGE - PREVAILING RATE,2346.0,2019,Chicago Fire Department
LOCAL,0200,WATER FUND,88,DWM,2035,METER SERVICES,424,FURNITURE AND FURNISHINGS,5000.0,2019,Department of Water Management
GRANTS,0V84,COPS HIRING PROGRAM,57,CPD,2983,COPS HIRING PROGRAM,6,SALARY PROVISION,3128000.0,2019,Chicago Police Department
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,350,STATIONERY AND OFFICE SUPPLIES,37686.0,2019,Department of Business Affairs and Consumer Protection
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,348,BOOKS AND RELATED MATERIAL,2948.0,2019,Department of Planning and Development
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,350,STATIONERY AND OFFICE SUPPLIES,9000.0,2019,Department of Finance
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,181,MOBILE COMMUNICATION SERVICES,138398.0,2019,Department of Streets and Sanitation
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,519.0,2019,Office of Inspector General
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2510,FAIR HOUSING,190,TELEPHONE - NON-CENTREX BILLINGS,3000.0,2019,Chicago Commission on Human Relations
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,245,REIMBURSEMENT TO TRAVELERS,7500.0,2019,Department of Fleet and Facility Management
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9980,MUNICIPAL FUND PENSION ALLOCATION,30353000.0,2019,Finance General
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,5500.0,2019,Department of Fleet and Facility Management
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,130,POSTAGE,500.0,2019,Department of Finance
GRANTS,0X61,BIOTERRORISM PREPAREDNESS RESPONSE PLANN,41,HEALTH,2829,BIOTERRORISM RESPONSE,270,LOCAL TRANSPORTATION,1290.0,2019,Chicago Department of Public Health
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,166,DUES  SUBSC & MEM,5350.0,2019,Chicago Department of Public Health
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,15,SCHEDULE SALARY ADJUSTMENTS,8755.0,2019,Chicago Department of Transportation
GRANTS,0Y10,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,15,SCHEDULE SALARY ADJUSTMENTS,17052.0,2019,Department of Family and Support Services
LOCAL,0740,O HARE REVENUE FUND,57,CPD,1005,Chicago Police Department,22,DUTY AVAILABILITY,558000.0,2019,Chicago Police Department
LOCAL,0314,SEWER FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,96787.0,2019,Department of Fleet and Facility Management
GRANTS,0Y29,OAA NUTRITION PROGRAM INCOME - CON. MEAL,50,DFSS,2801,OAA NUTRITION PGM INCOME,140,PROFESSIONAL AND TECHNICAL SERVICES,445000.0,2019,Department of Family and Support Services
