FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2020 ORDINANCE (AMOUNT $)
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,9389344.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,39,STUDENT AS TRAINEES,298400.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1600.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,130,POSTAGE,5500.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,140,PROFESSIONAL AND TECHNICAL SERVICES,277000.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,149,SOFTWARE MAINTENANCE AND LICENSING,2500.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,150,OUTSIDE GRAPHIC SERVICES,1600.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,40000.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,159,LEASE/PURCHASE EQUIPMENT,52000.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,237242.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,6000.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,181,MOBILE COMMUNICATION SERVICES,42408.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,190,TELEPHONE - CENTREX BILLINGS,19800.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,197,TELEPHONE - MAINTENANCE,2800.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,229,TRANSPORTATION AND EXPENSE ALLOWANCE,1000.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,245,REIMBURSEMENT TO TRAVELERS,120780.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,1500.00
LOCAL,0100,CORPORATE FUND,1,MAYOR,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPLIES,30000.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1,MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,363456.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,5758681.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,55463.00
