LOG_NO,by_year_complaint_date,ASSIGNMENT,CURRENT_STATUS,CURRENT_CATEGORY
2,01/01/2023 12:00:00 AM,COPA,Quality Management Review,In Process-Allegation Pending
3,01/01/2022 12:00:00 AM,COPA,Waiting on Evidence,In Process-Allegation Pending
80,01/01/2022 12:00:00 AM,COPA,Concurrence,Closed-No Allegation
1,01/01/2020 12:00:00 AM,COPA,Accused is not a CPD member,Closed-No Allegation
1,01/01/2019 12:00:00 AM,COPA,Closed,Denial of Counsel
2300,01/01/2020 12:00:00 AM,BIA,,
18,01/01/2023 12:00:00 AM,COPA,Close Hold,Closed-No Allegation
5,01/01/2023 12:00:00 AM,COPA,Mediated,Closed-No Allegation
43,01/01/2019 12:00:00 AM,COPA,Pending Civil Suit,Closed-No Allegation
4,01/01/2022 12:00:00 AM,COPA,Within Policy,Closed-No Allegation
2,01/01/2021 12:00:00 AM,COPA,Referred,Closed-No Allegation
5,01/01/2022 12:00:00 AM,COPA,Closed No Allegations - Incident Over Five Years Ago,Closed-No Allegation
78,01/01/2019 12:00:00 AM,COPA,Closed No Allegations - Insufficient Object Evidence,Closed-No Allegation
21,01/01/2023 12:00:00 AM,COPA,Director of Investigations Review,In Process-Allegation Pending
78,01/01/2022 12:00:00 AM,COPA,Closed Final,Closed-No Allegation
37,01/01/2023 12:00:00 AM,COPA,Drafting Allegations,In Process-Allegation Pending
4,01/01/2022 12:00:00 AM,COPA,Investigator Assigned,In Process-Allegation Pending
2,01/01/2021 12:00:00 AM,COPA,Closed - No CPD Member,Closed-No Allegation
22,01/01/2023 12:00:00 AM,COPA,Closed No Allegations - Incident Over Five Years Ago,Closed-No Allegation
356,01/01/2020 12:00:00 AM,COPA,Administratively Closed,Closed-No Allegation
304,01/01/2020 12:00:00 AM,COPA,Closed Final,Closed-No Allegation
3,01/01/2022 12:00:00 AM,COPA,Referred,Closed-No Allegation
3455,01/01/2023 12:00:00 AM,BIA,,
2331,01/01/2019 12:00:00 AM,BIA,,
44,01/01/2020 12:00:00 AM,COPA,Referred,Closed-No Allegation
105,01/01/2020 12:00:00 AM,COPA,Closed No Allegations - Insufficient Object Evidence,Closed-No Allegation
22,01/01/2019 12:00:00 AM,COPA,Closed,Operational Violation
3,01/01/2019 12:00:00 AM,COPA,Closed,Miscellaneous
3,01/01/2019 12:00:00 AM,COPA,Pending CPD Review,Miscellaneous
5,01/01/2020 12:00:00 AM,COPA,Legal Review,In Process-Allegation Pending
6,01/01/2023 12:00:00 AM,COPA,Legal Review,In Process-Allegation Pending
35,01/01/2023 12:00:00 AM,COPA,Closed - No CPD Member,Closed-No Allegation
60,01/01/2019 12:00:00 AM,COPA,Administrative Termination,Closed-No Allegation
69,01/01/2019 12:00:00 AM,COPA,Closed,Civil Suits
6,01/01/2019 12:00:00 AM,COPA,Closed,Domestic Violence
14,01/01/2022 12:00:00 AM,COPA,Non-Concurrence Pending,Closed-No Allegation
3,01/01/2019 12:00:00 AM,COPA,Pending CPD Review,Domestic Violence
870,01/01/2019 12:00:00 AM,COPA,No Affidavit/No Conversion,Closed-No Allegation
1,01/01/2019 12:00:00 AM,COPA,Closed,OC Discharge-Injury or Death
69,01/01/2021 12:00:00 AM,COPA,Close Hold,Closed-No Allegation
2,01/01/2022 12:00:00 AM,COPA,Closed - No CPD Member,Closed-No Allegation
5,01/01/2020 12:00:00 AM,COPA,Within Policy,Closed-No Allegation
2907,01/01/2022 12:00:00 AM,BIA,,
2521,01/01/2021 12:00:00 AM,BIA,,
12,01/01/2020 12:00:00 AM,COPA,Non-Concurrence Pending,Closed-No Allegation
4,01/01/2022 12:00:00 AM,COPA,Deputy Chief Review,In Process-Allegation Pending
2,01/01/2019 12:00:00 AM,COPA,Closed,Motor Vehicle Incident-Fatal
55,01/01/2019 12:00:00 AM,COPA,Referred,Closed-No Allegation
47,01/01/2023 12:00:00 AM,COPA,Concurrence,Closed-No Allegation
2,01/01/2019 12:00:00 AM,COPA,Closed,Firearm Discharge-Officer Suicide
83,01/01/2020 12:00:00 AM,COPA,Pending Civil Suit,Closed-No Allegation
1,01/01/2019 12:00:00 AM,COPA,Closed,Closed-No Allegation
275,01/01/2022 12:00:00 AM,COPA,Closed No Allegations - Insufficient Object Evidence,Closed-No Allegation
1,01/01/2022 12:00:00 AM,COPA,Drafting FSR/non-FSR,In Process-Allegation Pending
26,01/01/2019 12:00:00 AM,COPA,Non-Concurrence Pending,Closed-No Allegation
4,01/01/2022 12:00:00 AM,COPA,Legal Review,In Process-Allegation Pending
114,01/01/2019 12:00:00 AM,COPA,Closed,Improper Search or Seizure
22,01/01/2019 12:00:00 AM,COPA,Pending CPD Review,Operational Violation
12,01/01/2019 12:00:00 AM,COPA,Pending CPD Review,Excessive Force
11,01/01/2023 12:00:00 AM,COPA,Non-Concurrence Pending,Closed-No Allegation
68,01/01/2019 12:00:00 AM,COPA,No Affidavit,Closed-No Allegation
49,01/01/2023 12:00:00 AM,COPA,Drafting FSR/non-FSR,In Process-Allegation Pending
1,01/01/2020 12:00:00 AM,COPA,NULL,In Process-Allegation Pending
11,01/01/2019 12:00:00 AM,COPA,Closed,Incident in Custody
65,01/01/2019 12:00:00 AM,COPA,Pending Superintendent Review,Closed-No Allegation
3,01/01/2019 12:00:00 AM,COPA,Closed - No CPD Member,Closed-No Allegation
1,01/01/2020 12:00:00 AM,COPA,Drafting FSR/non-FSR,In Process-Allegation Pending
3,01/01/2019 12:00:00 AM,COPA,Pending CPD Review,Verbal Abuse
1,01/01/2019 12:00:00 AM,COPA,Drafting FSR/non-FSR,In Process-Allegation Pending
142,01/01/2021 12:00:00 AM,COPA,Closed Final,Closed-No Allegation
4,01/01/2022 12:00:00 AM,COPA,Non-Concurrence Pending,In Process-Allegation Pending
2,01/01/2022 12:00:00 AM,COPA,Complainant Unknown,Closed-No Allegation
1,01/01/2022 12:00:00 AM,COPA,Interviewing Accused Members,In Process-Allegation Pending
5,01/01/2020 12:00:00 AM,COPA,Closed - No CPD Member,Closed-No Allegation
3,01/01/2021 12:00:00 AM,COPA,Supervising Investigator Review,In Process-Allegation Pending
92,01/01/2021 12:00:00 AM,COPA,Pending Superintendent Review,Closed-No Allegation
2,01/01/2019 12:00:00 AM,COPA,Closed,Unnecessary Display of Weapon
1,01/01/2021 12:00:00 AM,COPA,Closed - Duplicate,Closed-No Allegation
592,01/01/2020 12:00:00 AM,COPA,No Affidavit/No Conversion,Closed-No Allegation
6,01/01/2022 12:00:00 AM,COPA,Closed - Duplicate,Closed-No Allegation
4,01/01/2023 12:00:00 AM,COPA,Non-Disciplinary Closure,Closed-No Allegation
