BRANCH,year,month,circulation_num
Albany Park,2019,JANUARY,8214
Altgeld,2019,JANUARY,378
Archer Heights,2019,JANUARY,5365
Austin,2019,JANUARY,215
Austin-Irving,2019,JANUARY,9678
Avalon,2019,JANUARY,2910
Back of the Yards,2019,JANUARY,2156
Beverly,2019,JANUARY,3937
Bezazian,2019,JANUARY,8524
Blackstone,2019,JANUARY,7981
Brainerd,2019,JANUARY,677
Brighton Park,2019,JANUARY,4157
Bucktown-Wicker Park,2019,JANUARY,8642
Budlong Woods,2019,JANUARY,8892
Canaryville,2019,JANUARY,1617
Chicago Bee,2019,JANUARY,862
Chicago Lawn,2019,JANUARY,2521
Chinatown,2019,JANUARY,8235
Clearing,2019,JANUARY,2534
Coleman,2019,JANUARY,2291
"Daley, Richard J.",2019,JANUARY,5280
"Daley, Richard M.",2019,JANUARY,2492
Douglass,2019,JANUARY,0
Dunning,2019,JANUARY,4058
Edgebrook,2019,JANUARY,8719
Edgewater,2019,JANUARY,14294
Gage Park,2019,JANUARY,1012
Galewood-Mont Clare,2019,JANUARY,749
Garfield Ridge,2019,JANUARY,4409
Greater Grand Crossing,2019,JANUARY,1087
Hall,2019,JANUARY,1075
HAROLD WASHINGTON LIBRARY CENTER,2019,JANUARY,48072
Hegewisch,2019,JANUARY,1688
Humboldt Park,2019,JANUARY,5075
Independence,2019,JANUARY,2293
Jefferson Park,2019,JANUARY,4148
Jeffery Manor,2019,JANUARY,632
Kelly,2019,JANUARY,1048
King,2019,JANUARY,1713
Legler Regional,2019,JANUARY,769
Lincoln Belmont,2019,JANUARY,11587
Lincoln Park,2019,JANUARY,9826
Little Italy,2019,JANUARY,1088
Little Village,2019,JANUARY,2973
Logan Square,2019,JANUARY,10828
Lozano,2019,JANUARY,3781
Manning,2019,JANUARY,1730
Mayfair,2019,JANUARY,4283
McKinley Park,2019,JANUARY,4477
Merlo,2019,JANUARY,8053
Mount Greenwood,2019,JANUARY,4301
Near North,2019,JANUARY,8232
North Austin,2019,JANUARY,997
North Pulaski,2019,JANUARY,2476
Northtown,2019,JANUARY,109
Oriole Park,2019,JANUARY,5120
Portage-Cragin,2019,JANUARY,6272
Pullman,2019,JANUARY,1139
Roden,2019,JANUARY,5994
Rogers Park,2019,JANUARY,10289
Scottsdale,2019,JANUARY,2062
Sherman Park,2019,JANUARY,589
South Chicago,2019,JANUARY,1375
South Shore,2019,JANUARY,2052
Sulzer Regional Library,2019,JANUARY,31782
Thurgood Marshall,2019,JANUARY,1845
Toman,2019,JANUARY,4427
Uptown,2019,JANUARY,4063
Vodak-East Side,2019,JANUARY,2715
Walker,2019,JANUARY,1385
Water Works,2019,JANUARY,4141
West Belmont,2019,JANUARY,2334
West Chicago Avenue,2019,JANUARY,827
West Englewood,2019,JANUARY,1053
West Lawn,2019,JANUARY,2757
West Loop,2019,JANUARY,2620
West Pullman,2019,JANUARY,1346
West Town,2019,JANUARY,5076
"Whitney M. Young, Jr.",2019,JANUARY,763
Woodson Regional Library,2019,JANUARY,5061
Wrightwood-Ashburn,2019,JANUARY,1478
Downloadable Media,2019,JANUARY,152141
Online Renewals,2019,JANUARY,341631
Itivia Renewals,2019,JANUARY,4269
"Whitney M. Young, Jr.",2020,JANUARY,1781
Auto-Renewals,2020,JANUARY,541865
Walker,2020,JANUARY,1084
Albany Park,2020,JANUARY,7062
Avalon,2020,JANUARY,2531
Brainerd,2020,JANUARY,583
Oriole Park,2020,JANUARY,6094
Little Italy,2020,JANUARY,5351
Edgebrook,2020,JANUARY,8446
Kelly,2020,JANUARY,933
Edgewater,2020,JANUARY,14221
Near North,2020,JANUARY,8411
Canaryville,2020,JANUARY,1538
"Daley, Richard J.- Bridgeport",2020,JANUARY,4460
Manning,2020,JANUARY,1728
Portage-Cragin,2020,JANUARY,5674
Greater Grand Crossing,2020,JANUARY,1265
Scottsdale,2020,JANUARY,1890
Altgeld,2020,JANUARY,360
West Lawn,2020,JANUARY,3340
Back of the Yards,2020,JANUARY,1889
Rogers Park,2020,JANUARY,8713
Garfield Ridge,2020,JANUARY,3964
King,2020,JANUARY,2157
Water Works,2020,JANUARY,5122
"Daley, Richard M.- W Humboldt",2020,JANUARY,2800
Humboldt Park,2020,JANUARY,4333
Sulzer Regional Library,2020,JANUARY,30141
Blackstone,2020,JANUARY,7975
North Austin,2020,JANUARY,1072
West Town,2020,JANUARY,4684
Budlong Woods,2020,JANUARY,7384
Lincoln Park,2020,JANUARY,12260
West Englewood,2020,JANUARY,1050
Archer Heights,2020,JANUARY,3769
Hegewisch,2020,JANUARY,2020
Independence,2020,JANUARY,6652
Lozano,2020,JANUARY,3456
South Shore,2020,JANUARY,1
Chinatown,2020,JANUARY,6044
Douglass,2020,JANUARY,1112
Logan Square,2020,JANUARY,11156
Roden,2020,JANUARY,1518
Galewood-Mont Clare,2020,JANUARY,732
West Belmont,2020,JANUARY,4697
Bucktown-Wicker Park,2020,JANUARY,9696
North Pulaski,2020,JANUARY,1733
McKinley Park,2020,JANUARY,4750
Downloadable Media,2020,JANUARY,168217
West Pullman,2020,JANUARY,1449
Beverly,2020,JANUARY,3746
Legler Regional,2020,JANUARY,0
Toman,2020,JANUARY,4410
Austin,2020,JANUARY,1315
Wrightwood-Ashburn,2020,JANUARY,1313
Jefferson Park,2020,JANUARY,6161
Mayfair,2020,JANUARY,2929
South Chicago,2020,JANUARY,1667
Clearing,2020,JANUARY,2242
Merlo,2020,JANUARY,0
Uptown,2020,JANUARY,7877
Chicago Lawn,2020,JANUARY,2161
Harold Washington Library Center,2020,JANUARY,48585
Brighton Park,2020,JANUARY,3047
West Chicago Avenue,2020,JANUARY,703
Little Village,2020,JANUARY,2862
Lincoln Belmont,2020,JANUARY,14013
Gage Park,2020,JANUARY,1254
Northtown,2020,JANUARY,10481
Dunning,2020,JANUARY,3769
Bezazian,2020,JANUARY,8134
West Loop,2020,JANUARY,5153
Pullman,2020,JANUARY,840
Patron Initiated renewals (automated phone),2020,JANUARY,1285
Jeffery Manor,2020,JANUARY,662
Hall,2020,JANUARY,1249
Mount Greenwood,2020,JANUARY,4603
Coleman,2020,JANUARY,1747
Austin-Irving,2020,JANUARY,7877
Woodson Regional Library,2020,JANUARY,4587
Thurgood Marshall,2020,JANUARY,1485
Chicago Bee,2020,JANUARY,749
Vodak-East Side,2020,JANUARY,986
Sherman Park,2020,JANUARY,411
Patron Initiated renewals (online),2020,JANUARY,47042
Walker,2021,JANUARY,800
Albany Park,2021,JANUARY,4274
Avalon,2021,JANUARY,1342
Brainerd,2021,JANUARY,311
Oriole Park,2021,JANUARY,4375
Little Italy,2021,JANUARY,3978
Edgebrook,2021,JANUARY,6378
Kelly,2021,JANUARY,323
Edgewater,2021,JANUARY,11193
Near North,2021,JANUARY,7399
Canaryville,2021,JANUARY,0
"Daley, Richard J.- Bridgeport",2021,JANUARY,4034
Manning,2021,JANUARY,0
Portage-Cragin,2021,JANUARY,3040
"Whitney M. Young, Jr.",2021,JANUARY,601
Greater Grand Crossing,2021,JANUARY,336
Auto-Renewals,2021,JANUARY,671609
