BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Walker,11071 S. Hoyne Ave.,Chicago,60643,1198,2126,2270,1637,1010,1565,1260,1405,1016,1163,1220,1051,16921,POINT (-87.673802975 41.692205985)
Albany Park,3401 W. Foster Ave.,Chicago,60625,5420,4713,5962,5274,4537,5426,5220,5226,4657,4295,4811,4310,59851,POINT (-87.714061005 41.975447006)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1243,1302,1479,1335,1115,1515,1336,1327,1365,1206,1054,1050,15327,POINT (-87.586262965 41.746330993)
Brainerd,1350 W. 89th St.,Chicago,60620,325,243,421,269,211,377,279,272,331,275,317,221,3541,POINT (-87.65773998 41.732529016)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4964,4765,5691,4602,4337,5421,4954,5196,4713,4627,4439,4359,58068,POINT (-87.813854016 41.978383983)
Little Italy,1336 W. Taylor St.,Chicago,60607,4132,3405,4161,3600,3329,3890,3397,3565,3201,3028,3139,3015,41862,POINT (-87.660522962 41.869428203)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,6680,5868,6938,5944,5587,7447,6757,6743,6033,5543,5815,5471,74826,POINT (-87.762086963 41.997127008)
Kelly,6151 S. Normal Blvd.,Chicago,60621,370,285,258,318,302,272,312,315,349,487,350,250,3868,POINT (-87.637248993 41.781998003)
Edgewater,6000 N. Broadway St.,Chicago,60660,10867,10097,11720,9451,9460,10846,10686,10923,9881,9641,9807,10690,124069,POINT (-87.660700971 41.99115201)
Near North,310 W. Division St.,Chicago,60610,6316,5969,6944,6227,6073,7317,6965,7002,6622,6218,6345,6263,78261,POINT (-87.636579027 41.904139012)
Canaryville,642 W. 43rd St.,Chicago,60609,993,847,1179,1003,890,898,763,744,599,899,734,817,10366,POINT (-87.642596982 41.81648899)
"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,3282,3239,3920,3446,3175,3652,3681,3684,3467,3228,3351,3228,41353,POINT (-87.646464979 41.832637983)
Manning,6 S. Hoyne Ave.,Chicago,60612,1132,1067,1250,1200,1193,1131,1111,1099,1086,943,987,1081,13280,POINT (-87.679589003 41.881057011)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,3844,3380,4028,3784,3374,3845,3310,3855,3881,3457,2829,2823,42410,POINT (-87.754936026 41.938944991)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,704,654,876,834,669,783,800,916,547,730,623,601,8737,POINT (-87.614246033 41.750935005)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,516,369,460,372,338,524,360,360,1,516,451,435,4702,POINT (-87.600424023 41.762564015)
Auto-Renewals,,,,580360,504281,557969,565505,613405,537961,572096,574882,495537,588839,548512,544543,6683890,
Scottsdale,4101 W. 79th St.,Chicago,60652,1268,1123,1299,1151,1044,1397,1143,1018,822,1163,835,943,13206,POINT (-87.72458197 41.749175015)
Altgeld,955 E. 131st St.,Chicago,60827,115,123,165,145,153,135,90,99,109,176,146,113,1569,POINT (-87.5985899 41.657217043)
West Lawn,4020 W. 63rd St.,Chicago,60629,1649,1448,2135,2070,1865,2038,1992,1849,1861,1622,1602,1540,21671,POINT (-87.723808991 41.778908014)
Back of the Yards,2111 W. 47th St.,Chicago,60609,989,889,984,1134,943,1058,1001,964,973,952,786,700,11373,POINT (-87.678143963 41.807980981)
Rogers Park,6907 N. Clark St.,Chicago,60626,6712,5916,7649,6366,6643,7258,7070,7283,6661,6040,2506,4305,74409,POINT (-87.673358664 42.006785587)
Talking Book and Braille downloadable,,,,2903,2567,2649,2786,3176,3098,3346,3534,3218,4017,3697,4488,39479,
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,3182,2874,3876,3096,2686,3904,3341,3105,584,2848,2897,2260,34653,POINT (-87.780219031 41.792989989)
King,3436 S. King Dr.,Chicago,60616,1091,1052,1078,955,911,823,1022,1045,968,893,822,802,11462,POINT (-87.61740245 41.83221959)
Water Works,163 E. Pearson Street,Chicago,60611,3019,2690,3329,2950,3065,2996,2837,3229,2809,2867,2558,2886,35235,POINT (-87.623499989 41.897244017)
Downloadable Media,,,,269855,242473,263908,254544,266363,266675,284126,290035,485338,326481,331155,348864,3629817,
"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,1294,1006,1346,1169,939,947,1065,1154,1114,1065,938,989,13026,POINT (-87.706459033 41.894687736)
Humboldt Park,1605 N. Troy St.,Chicago,60647,3690,3457,3990,3814,3388,4130,3799,3845,3772,3700,3143,3305,44033,POINT (-87.705306023 41.910454986)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,25585,24380,27417,24938,22945,27142,26196,26168,24437,25663,24505,24040,303416,POINT (-87.68438999 41.962757014)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6444,6191,7707,6442,5850,6900,6791,7019,6637,6278,5915,6422,78596,POINT (-87.590339001 41.805839991)
