BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Albany Park,3401 W. Foster Ave.,Chicago,60625,1118,1047,1048,970,1096,1063,1078,1049,998,1015,987,1008,12477,POINT (-87.714061005 41.975447006)
Altgeld,955 E. 131st St.,Chicago,60827,527,449,530,510,393,460,518,477,344,431,435,314,5388,POINT (-87.5985899 41.657217043)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,805,701,856,207,182,729,777,758,713,741,689,622,7780,POINT (-87.726678032 41.800891986)
Austin,5615 W. Race Ave.,Chicago,60644,698,754,858,877,872,917,1024,1298,1090,1118,1042,990,11538,POINT (-87.765813976 41.88902598)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,610,542,770,675,758,683,737,114,0,556,531,493,6469,POINT (-87.779555017 41.953195986)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1352,1301,1475,1432,1393,1430,1521,1512,1433,1584,1320,1305,17058,POINT (-87.586262965 41.746330993)
Back of the Yards,2111 W. 47th St.,Chicago,60609,414,446,640,604,606,544,531,686,436,538,456,352,6253,POINT (-87.678143963 41.807980981)
Beverly,1962 W. 95th St.,Chicago,60643,832,897,1038,943,990,913,1002,940,941,870,833,697,10896,POINT (-87.672148974 41.721352)
Bezazian,1226 W. Ainslie St.,Chicago,60640,1240,1119,1457,1388,1436,1324,1360,1305,1212,1120,1068,1000,15029,POINT (-87.660752017 41.971581984)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,893,960,1230,1076,976,1037,948,1112,1000,1070,924,916,12142,POINT (-87.590339001 41.805839991)
Brainerd,1350 W. 89th St.,Chicago,60620,409,348,424,429,400,554,652,635,496,456,434,299,5536,POINT (-87.65773998 41.732529016)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,381,481,635,705,702,624,647,680,490,630,642,504,7121,POINT (-87.703195041 41.815067)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,657,683,836,884,777,837,815,979,839,877,783,735,9702,POINT (-87.680352008 41.912560017)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,957,894,1236,1081,943,1186,1311,1043,1013,1010,889,874,12437,POINT (-87.696332022 41.983373017)
Canaryville,642 W. 43rd St.,Chicago,60609,238,255,313,315,279,238,283,327,308,334,312,222,3424,POINT (-87.642596982 41.81648899)
Chicago Bee,3647 S. State St.,Chicago,60609,643,622,662,631,607,620,586,621,504,530,462,404,6892,POINT (-87.626229975 41.828173991)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1024,885,1081,1016,999,1022,1035,1120,970,970,991,832,11945,POINT (-87.703539034 41.78196699)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,1613,1559,2027,1803,1863,2061,2125,1830,1779,1770,1714,1685,21829,POINT (-87.632128991 41.853762014)
Clearing,6423 W. 63rd Pl.,Chicago,60638,504,440,611,485,487,509,525,602,523,445,441,422,5994,POINT (-87.78226497 41.776457984)
Coleman,731 E. 63rd St.,Chicago,60637,1274,1319,1362,1365,1471,1428,1351,1405,1135,1265,1114,985,15474,POINT (-87.606835006 41.780134999)
