BRANCH,year,month,num_visitors
Albany Park,2019,JANUARY,10405
Altgeld,2019,JANUARY,2083
Archer Heights,2019,JANUARY,6378
Austin,2019,JANUARY,4878
Austin-Irving,2019,JANUARY,8003
Avalon,2019,JANUARY,7925
Back of the Yards,2019,JANUARY,3382
Beverly,2019,JANUARY,5727
Bezazian,2019,JANUARY,9666
Blackstone,2019,JANUARY,7440
Brainerd,2019,JANUARY,5057
Brighton Park,2019,JANUARY,4444
Bucktown-Wicker Park,2019,JANUARY,10961
Budlong Woods,2019,JANUARY,9917
Canaryville,2019,JANUARY,2614
Chicago Bee,2019,JANUARY,1585
Chicago Lawn,2019,JANUARY,5247
Chinatown,2019,JANUARY,16716
Clearing,2019,JANUARY,4283
Coleman,2019,JANUARY,6123
"Daley, Richard J.",2019,JANUARY,4550
"Daley, Richard M.",2019,JANUARY,9216
Douglass,2019,JANUARY,0
Dunning,2019,JANUARY,7777
Edgebrook,2019,JANUARY,7241
Edgewater,2019,JANUARY,11504
Gage Park,2019,JANUARY,2111
Galewood-Mont Clare,2019,JANUARY,1597
Garfield Ridge,2019,JANUARY,4500
Greater Grand Crossing,2019,JANUARY,4541
Hall,2019,JANUARY,5040
Harold Washington Library Center,2019,JANUARY,103099
Hegewisch,2019,JANUARY,3316
Humboldt Park,2019,JANUARY,5224
Independence,2019,JANUARY,1370
Jefferson Park,2019,JANUARY,3918
Jeffery Manor,2019,JANUARY,4733
Kelly,2019,JANUARY,4435
King,2019,JANUARY,3695
Legler Regional,2019,JANUARY,6386
Lincoln Belmont,2019,JANUARY,11415
Lincoln Park,2019,JANUARY,9854
Little Italy,2019,JANUARY,0
Little Village,2019,JANUARY,6716
Logan Square,2019,JANUARY,10787
Lozano,2019,JANUARY,10057
Manning,2019,JANUARY,7361
Thurgood Marshall,2019,JANUARY,5148
Mayfair,2019,JANUARY,3625
McKinley Park,2019,JANUARY,7154
Merlo,2019,JANUARY,8108
Mount Greenwood,2019,JANUARY,4670
Near North,2019,JANUARY,10281
North Austin,2019,JANUARY,3163
North Pulaski,2019,JANUARY,3324
Northtown,2019,JANUARY,0
Oriole Park,2019,JANUARY,6053
Portage-Cragin,2019,JANUARY,5687
Pullman,2019,JANUARY,3919
Roden,2019,JANUARY,4319
Rogers Park,2019,JANUARY,14708
Scottsdale,2019,JANUARY,3407
Sherman Park,2019,JANUARY,3089
South Chicago,2019,JANUARY,6062
South Shore,2019,JANUARY,5613
Sulzer Regional Library,2019,JANUARY,24368
