CRASH_RECORD_ID,by_year_crash_date,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,ROAD_DEFECT
1,01/01/2021 12:00:00 AM,DELINEATORS,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2021 12:00:00 AM,NO PASSING,UNKNOWN,UNKNOWN
1,01/01/2023 12:00:00 AM,UNKNOWN,UNKNOWN,SHOULDER DEFECT
1,01/01/2019 12:00:00 AM,YIELD,OTHER,OTHER
1,01/01/2022 12:00:00 AM,FLASHING CONTROL SIGNAL,WORN REFLECTIVE MATERIAL,OTHER
514,01/01/2019 12:00:00 AM,NO CONTROLS,UNKNOWN,NO DEFECTS
4,01/01/2023 12:00:00 AM,OTHER WARNING SIGN,UNKNOWN,NO DEFECTS
7,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,OTHER
1,01/01/2022 12:00:00 AM,BICYCLE CROSSING SIGN,NO CONTROLS,UNKNOWN
17,01/01/2022 12:00:00 AM,OTHER,OTHER,OTHER
3,01/01/2020 12:00:00 AM,SCHOOL ZONE,FUNCTIONING PROPERLY,NO DEFECTS
45,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,OTHER
51,01/01/2022 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
3,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,WORN REFLECTIVE MATERIAL,UNKNOWN
1,01/01/2020 12:00:00 AM,PEDESTRIAN CROSSING SIGN,FUNCTIONING PROPERLY,OTHER
20514,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2022 12:00:00 AM,RAILROAD CROSSING GATE,OTHER,UNKNOWN
1,01/01/2020 12:00:00 AM,SCHOOL ZONE,OTHER,OTHER
1,01/01/2020 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,OTHER
1,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,NOT FUNCTIONING,UNKNOWN
5,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,MISSING,NO DEFECTS
1,01/01/2022 12:00:00 AM,UNKNOWN,NOT FUNCTIONING,UNKNOWN
5,01/01/2019 12:00:00 AM,FLASHING CONTROL SIGNAL,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2021 12:00:00 AM,RR CROSSING SIGN,FUNCTIONING IMPROPERLY,NO DEFECTS
4,01/01/2021 12:00:00 AM,OTHER RAILROAD CROSSING,NO CONTROLS,UNKNOWN
126,01/01/2020 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,NO DEFECTS
6,01/01/2023 12:00:00 AM,PEDESTRIAN CROSSING SIGN,NO CONTROLS,UNKNOWN
1,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,SHOULDER DEFECT
3,01/01/2020 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,OTHER
1,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,OTHER,WORN SURFACE
1,01/01/2023 12:00:00 AM,PEDESTRIAN CROSSING SIGN,WORN REFLECTIVE MATERIAL,UNKNOWN
1,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,NOT FUNCTIONING,SHOULDER DEFECT
1,01/01/2021 12:00:00 AM,OTHER,OTHER,"RUT, HOLES"
19,01/01/2021 12:00:00 AM,NO CONTROLS,OTHER,UNKNOWN
26,01/01/2022 12:00:00 AM,UNKNOWN,UNKNOWN,OTHER
1,01/01/2020 12:00:00 AM,OTHER RAILROAD CROSSING,OTHER,NO DEFECTS
40,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SHOULDER DEFECT
2,01/01/2019 12:00:00 AM,OTHER RAILROAD CROSSING,FUNCTIONING PROPERLY,UNKNOWN
129,01/01/2023 12:00:00 AM,UNKNOWN,NO CONTROLS,NO DEFECTS
2,01/01/2022 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,SHOULDER DEFECT
2,01/01/2019 12:00:00 AM,OTHER,FUNCTIONING IMPROPERLY,UNKNOWN
1,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,"RUT, HOLES"
1,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,DEBRIS ON ROADWAY
10,01/01/2019 12:00:00 AM,SCHOOL ZONE,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2021 12:00:00 AM,PEDESTRIAN CROSSING SIGN,OTHER,UNKNOWN
42,01/01/2023 12:00:00 AM,RR CROSSING SIGN,UNKNOWN,UNKNOWN
2,01/01/2023 12:00:00 AM,OTHER REG. SIGN,UNKNOWN,UNKNOWN
1,01/01/2019 12:00:00 AM,UNKNOWN,FUNCTIONING PROPERLY,WORN SURFACE
4,01/01/2020 12:00:00 AM,OTHER,NO CONTROLS,OTHER
1081,01/01/2019 12:00:00 AM,NO CONTROLS,NO CONTROLS,"RUT, HOLES"
1,01/01/2019 12:00:00 AM,OTHER WARNING SIGN,NO CONTROLS,WORN SURFACE
1,01/01/2022 12:00:00 AM,RR CROSSING SIGN,NO CONTROLS,OTHER
4,01/01/2019 12:00:00 AM,LANE USE MARKING,WORN REFLECTIVE MATERIAL,WORN SURFACE
4,01/01/2022 12:00:00 AM,NO CONTROLS,UNKNOWN,OTHER
1,01/01/2019 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,OTHER
2,01/01/2019 12:00:00 AM,NO CONTROLS,OTHER,SHOULDER DEFECT
3,01/01/2020 12:00:00 AM,POLICE/FLAGMAN,OTHER,NO DEFECTS
309,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,NO DEFECTS
182,01/01/2023 12:00:00 AM,OTHER,OTHER,NO DEFECTS
291,01/01/2022 12:00:00 AM,NO CONTROLS,NO CONTROLS,WORN SURFACE
2,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,"RUT, HOLES"
1,01/01/2021 12:00:00 AM,OTHER,NO CONTROLS,WORN SURFACE
1,01/01/2022 12:00:00 AM,SCHOOL ZONE,NO CONTROLS,OTHER
1,01/01/2022 12:00:00 AM,PEDESTRIAN CROSSING SIGN,UNKNOWN,OTHER
81,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,"RUT, HOLES"
27,01/01/2021 12:00:00 AM,OTHER,UNKNOWN,UNKNOWN
2,01/01/2021 12:00:00 AM,SCHOOL ZONE,FUNCTIONING PROPERLY,UNKNOWN
3,01/01/2022 12:00:00 AM,OTHER WARNING SIGN,NO CONTROLS,NO DEFECTS
1,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,SHOULDER DEFECT
10,01/01/2020 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,UNKNOWN
5,01/01/2021 12:00:00 AM,NO CONTROLS,OTHER,OTHER
1,01/01/2021 12:00:00 AM,UNKNOWN,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2023 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,SHOULDER DEFECT
3,01/01/2022 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING IMPROPERLY,NO DEFECTS
1764,01/01/2020 12:00:00 AM,UNKNOWN,UNKNOWN,UNKNOWN
7,01/01/2020 12:00:00 AM,OTHER WARNING SIGN,NO CONTROLS,NO DEFECTS
3,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,WORN REFLECTIVE MATERIAL,NO DEFECTS
4,01/01/2020 12:00:00 AM,UNKNOWN,UNKNOWN,OTHER
39,01/01/2023 12:00:00 AM,NO CONTROLS,OTHER,UNKNOWN
2,01/01/2020 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,OTHER
1,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,SHOULDER DEFECT
1040,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN
13,01/01/2023 12:00:00 AM,SCHOOL ZONE,FUNCTIONING PROPERLY,NO DEFECTS
2,01/01/2019 12:00:00 AM,LANE USE MARKING,FUNCTIONING PROPERLY,"RUT, HOLES"
65,01/01/2021 12:00:00 AM,YIELD,FUNCTIONING PROPERLY,NO DEFECTS
80,01/01/2023 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,UNKNOWN
7,01/01/2020 12:00:00 AM,RR CROSSING SIGN,FUNCTIONING PROPERLY,NO DEFECTS
2,01/01/2020 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,WORN SURFACE
